시간,규모,진앙(km),위도,경도,위치
2012-01-01 19:40,2, ,39.02,125.82,북한 평양 동쪽 6km 지역
2012-01-16 3:03,2.2, ,36.79,128.75,경북 안동시 북쪽 25km 지역
2012-01-19 15:43,2.7, ,38.51,126.23,북한 황해북도 평산 북서쪽 24km 지역
2012-01-24 2:41,2.2, ,37.12,125.96,인천 옹진군 덕적도 서남서쪽 20km 해역
2012-02-19 20:21,2.7, ,35.13,129.89,울산 동구 남동쪽 59km 해역
2012-02-21 22:30,2.5, ,35.13,129.8,부산 기장군 동남동쪽 54km 해역
2012-02-24 0:54,2.4, ,35.13,129.85,울산 동구 남동쪽 57km 해역
2012-02-24 9:05,3.2, ,35.2,129.93,울산 동구 남동쪽 57km 해역
2012-02-27 0:26,2.5, ,35.15,129.85,울산 동구 남동쪽 55km 해역
2012-03-18 9:21,2.5, ,36.9,130.24,경북 울진군 동쪽 75km 해역
2012-03-29 0:26,2.2, ,35.34,125.95,전북 부안군 위도 남서쪽 43km 해역
2012-03-30 14:51,2.3, ,36.49,127.91,경북 상주시 서북서쪽 24km 지역
2012-04-17 13:31,2.6, ,35.72,126.51,전북 부안군 서쪽 20km 해역
2012-04-20 21:11,3.1, ,33.43,127.26,제주 서귀포시 성산 동쪽 36km 해역
2012-05-02 1:33,3.4, ,33.69,126.04,제주 제주시 고산 북북서쪽 46km 해역
2012-05-02 5:04,2.1, ,35.77,126.81,전북 김제시 서남서쪽 7km 지역
2012-05-11 12:46,3.9, ,36.02,127.71,전북 무주군 동북동쪽 5km 지역
2012-05-15 11:05,2.9, ,35.92,129.62,경북 포항시 남구 동남동쪽 25km 해역
2012-05-16 17:50,2.7, ,36.23,128.49,경북 군위군 서쪽 8km 지역
2012-05-30 2:48,3.4, ,36.57,129.57,경북 영덕군 북동쪽 25km 해역
2012-06-01 8:09,2.3, ,35.92,127.61,전북 무주군 남남서쪽 10km 지역
2012-06-01 12:05,2.6, ,37.12,125.96,인천 옹진군 덕적도 서남서쪽 20km 해역
2012-06-05 8:18,2.1, ,38.43,126.16,북한 황해북도 평산 서북서쪽 23km 지역
2012-06-12 3:42,2.1, ,36.32,127.51,충북 옥천군 서북서쪽 6km 지역
2012-06-12 9:01,2.1, ,38.77,125.72,북한 황해북도 송림 동북동쪽 8km 지역
2012-06-12 13:34,2.4, ,37.33,125.27,인천 옹진군 연평도 남서쪽 53km 해역
2012-06-12 17:52,2.2, ,35.87,128.67,대구 수성구 동북동쪽 4km 지역
2012-06-14 6:15,2.1, ,39.72,126.92,북한 함경남도 요덕 북동쪽 10km지역
2012-06-19 20:55,3.1, ,33.48,125.93,제주 제주시 고산 북서쪽 30km 해역
2012-06-23 16:42,2.6, ,36.7,128.31,경북 문경시 북동쪽 17km 지역
2012-06-24 1:20,2.1, ,37.53,124.56,인천 백령도 남남서쪽 48km 해역
2012-07-03 9:42,2.2, ,37.19,129.08,강원 삼척시 남남서쪽 30km 지역
2012-07-08 9:43,2.5, ,35.72,129.35,경북 경주시 남동쪽 18km 지역
2012-07-09 8:59,2.4, ,35.32,128.71,경남 창원시 북북동쪽 11km지역
2012-07-11 19:27,2.5, ,36.9,125.27,충남 태안군 서격렬비도 북서쪽 41km 해역
2012-07-11 19:33,2.1, ,36.87,125.28,충남 태안군 서격렬비도 북서쪽 38km 해역
2012-07-14 2:38,2.6, ,33.78,124.97,전남 신안군 가거도 남남서쪽 34km 해역
2012-07-22 12:04,2.3, ,34.69,126.6,전남 영암군 남서쪽 15km 지역
2012-07-26 19:24,3.4, ,37.98,125.45,북한 황해남도 옹진 북동쪽 10km 지역
2012-07-29 3:22,2.7, ,32.85,126.02,제주 제주시 고산 남남서쪽 51km 해역
2012-08-10 21:25,2.6, ,35.82,128.39,경북 고령군 북동쪽 16km 지역
2012-08-13 0:54,2.2, ,36.84,128.68,경북 영주시 북동쪽 6km 지역
2012-08-18 18:06,2.2, ,36.2,125.26,충남 태안군 서격렬비도 남남서쪽 51km 해역
2012-09-07 2:34,3.1, ,36.4,127.25,충남 공주시 동남동쪽 12km 지역
2012-09-10 22:06,2.1, ,35.82,129.41,경북 경주시 동쪽 18km 지역
2012-09-18 5:39,2.7, ,33.53,125.81,제주 제주시 고산 북서쪽 42km 해역
2012-09-19 14:49,2.1, ,34.71,128.72,경남 통영시 매물도 동북동쪽 15km 해역
2012-09-19 14:52,2.2, ,34.66,128.75,경남 통영시 매물도 동쪽 16km 해역
2012-09-20 2:43,2.4, ,35.61,129.82,울산 동구 동북동쪽 38km 해역
2012-09-24 9:59,2.5, ,38.73,125.48,북한 남포 남동쪽 4km 지역
2012-09-27 22:24,2.7, ,35.4,126.08,전북 부안군 위도 남서쪽 30km 해역
2012-09-28 19:36,2.1, ,36.41,128.73,경북 의성군 북북동쪽 7km 지역
2012-10-01 6:51,2.4, ,36.73,128.4,경북 예천군 북북서쪽 10km 지역
2012-10-17 14:37,2.5, ,37.54,124.84,인천 백령도 남남동쪽 48km 해역
2012-11-22 3:04,3, ,35.22,127.97,경남 진주시 서북서쪽 11km 지역
2012-12-19 15:05,2.2, ,35.72,127.22,전북 완주군 남남동쪽 21km 지역
2013-01-02 5:53,2.5, ,33.37,127.27,제주 서귀포시 성산 동쪽 36km 해역
2013-01-15 13:31,2.8, ,36.59,129.73,경북 영덕군 동북동쪽 38km 해역
2013-01-26 8:57,2.4, ,36.11,127.73,충북 영동군 남서쪽 9km 지역
2013-02-04 5:39,3.1, ,36.55,128.9,경북 안동시 동쪽 15km 지역
2013-02-05 21:25,3.5, ,35.77,127.97,경남 거창군 북북동쪽 11km 지역
2013-02-07 22:07,2.2, ,35.76,129.13,경북 경주시 남서쪽 12km 지역
2013-04-10 13:07,2.2, ,36.5,127.44,충북 청원군 남남서쪽 16km 지역
2013-04-14 16:16,2.3, ,38.2,129.29,강원 양양군 동북동쪽 60km 해역
2013-04-17 21:33,2.3, ,36.56,129.61,경북 영덕군 북동쪽 27km 해역
2013-04-19 23:46,2.2, ,36.55,129.6,경북 영덕군 북동쪽 26km 해역
2013-04-21 8:21,4.9, ,35.16,124.56,전남 신안군 흑산면 북서쪽 101km 해역
2013-04-21 18:21,2.7, ,35.14,124.49,전남 신안군 흑산면 서북서쪽 105km 해역
2013-04-28 3:39,2.7, ,33.65,127.29,전남 여수시 거문도 남쪽 42km 해역
2013-04-30 5:26,2.5, ,36.47,129.61,경북 영덕군 동북동쪽 23km 해역
2013-04-30 10:58,2, ,36.46,129.63,경북 영덕군 동북동쪽 24km 해역
2013-05-14 20:17,2.8, ,37.7,124.79,인천 백령도 남남동쪽 30km 해역
2013-05-15 8:34,2.7, ,37.71,124.68,인천 백령도 남쪽 27km 해역
2013-05-15 8:48,2.8, ,37.69,124.74,인천 백령도 남쪽 30km 해역
2013-05-18 3:00,3.5, ,37.68,124.6,인천 백령도 남남동쪽 31km 해역
2013-05-18 7:02,4.9, ,37.68,124.63,인천 백령도 남쪽 31km 해역
2013-05-18 7:24,2.2, ,37.69,124.65,인천 백령도 남쪽 29km 해역
2013-05-18 7:26,3.3, ,37.67,124.66,인천 백령도 남쪽 31km 해역
2013-05-18 7:54,2.5, ,37.69,124.65,인천 백령도 남쪽 29km 해역
2013-05-18 9:13,2.4, ,37.67,124.62,인천 백령도 남쪽 32km 해역
2013-05-18 9:32,2.5, ,37.64,124.57,인천 백령도 남남서쪽 36km 해역
2013-05-18 11:45,3.9, ,37.67,124.61,인천 백령도 남쪽 32km 해역
2013-05-18 14:09,2.6, ,37.71,124.68,인천 백령도 남쪽 27km 해역
2013-05-18 16:18,2.1, ,37.69,124.61,인천 백령도 남남서쪽 30km해역
2013-05-19 5:27,2.3, ,37.73,124.74,인천 백령도 남남동쪽 25km 해역
2013-05-21 16:17,3.7, ,37.66,124.71,인천 백령도 남쪽 33km 해역
2013-05-22 23:25,2.1, ,38.75,128.81,강원 고성군 북동쪽 51km 해역
2013-06-05 12:34,2.6, ,36.23,126.18,충남 보령시 서남서쪽 41km 해역
2013-06-08 5:56,3.2, ,35.14,126.96,광주 동구 동쪽 3km 지역
2013-06-10 14:01,2.1, ,37.71,124.7,인천 백령도 남쪽 27km 해역
2013-06-16 19:47,2.1, ,36.19,126.15,충남 보령시 서남서쪽 45km 해역
2013-06-16 22:12,2.5, ,36.2,126.16,충남 보령시 서남서쪽 43km 해역
2013-06-17 20:31,2.4, ,36.2,126.17,충남 보령시 서남서쪽 43km 해역
2013-06-18 2:31,2.3, ,36.21,126.18,충남 보령시 서남서쪽 41km 해역
2013-06-19 1:52,2.3, ,36.2,126.16,충남 보령시 서남서쪽 43km 해역
2013-06-19 16:02,2.6, ,36.19,126.16,충남 보령시 서남서쪽 44km 해역
2013-06-20 12:35,2.4, ,39.23,125.95,북한 평안남도 평성 동쪽 8km 지역
2013-06-21 16:29,2.2, ,36.19,126.14,충남 보령시 서남서쪽 45km 해역
2013-06-21 21:55,2.4, ,36.2,126.19,충남 보령시 서남서쪽 41km 해역
2013-06-22 3:51,2.5, ,36.2,126.17,충남 보령시 서남서쪽 43km 해역
2013-06-22 10:37,2.8, ,36.19,126.16,충남 보령시 서남서쪽 44km 해역
2013-06-22 11:18,2.3, ,36.2,126.17,충남 보령시 서남서쪽 43km 해역
2013-06-24 5:28,2.3, ,36.2,126.17,충남 보령시 서남서쪽 43km 해역
2013-06-24 18:26,2.1, ,38.04,129.75,강원 동해시 북동쪽 80km 해역
2013-06-27 19:33,2.5, ,36.2,126.14,충남 보령시 서남서쪽 45km 해역
2013-06-29 13:32,2.3, ,36.2,126.17,충남 보령시 서남서쪽 43km 해역
2013-07-01 11:24,3, ,38.78,126.36,북한 황해북도 신계 북북서쪽 35km 지역
2013-07-13 2:02,3.5, ,36.2,126.18,충남 보령시 서남서쪽 42km 해역
2013-07-15 1:39,2.4, ,33.03,125.68,제주 제주시 고산 서남서쪽 68km 해역
2013-07-15 19:44,2.5, ,36.2,126.15,충남 보령시 서남서쪽 44km 해역
2013-07-23 16:03,2.7, ,36.19,126.16,충남 보령시 서남서쪽 44km 해역
2013-07-26 11:23,2.2, ,36.19,126.14,충남 보령시 서남서쪽 45km 해역
2013-07-28 9:10,2.8, ,36.2,126.14,충남 보령시 서남서쪽 45km 해역
2013-07-29 10:29,2.7, ,36.2,126.13,충남 보령시 서남서쪽 46km 해역
2013-07-30 14:57,2.7, ,36.21,126.14,충남 보령시 서남서쪽 45km 해역
2013-07-31 20:05,2.2, ,36.21,126.17,충남 보령시 서남서쪽 42km 해역
2013-07-31 20:27,2.2, ,36.2,126.17,충남 보령시 서남서쪽 43km 해역
2013-07-31 22:30,3.2, ,36.21,126.18,충남 보령시 서남서쪽 41km 해역
2013-08-01 0:57,2.8, ,36.23,126.22,충남 보령시 서남서쪽 37km 해역
2013-08-01 17:22,3.1, ,36.19,126.17,충남 보령시 서남서쪽 43km 해역
2013-08-04 19:58,2.3, ,36.2,126.16,충남 보령시 서남서쪽 43km 해역
2013-08-07 21:08,2, ,36.19,126.08,충남 보령시 서남서쪽 51km 해역
2013-08-10 12:43,2.6, ,35.9,129.75,경북 포항시 남구 동남동쪽 37km 해역
2013-08-11 4:19,2.3, ,38.48,126.13,북한 황해북도 평산 북서쪽 28km 지역
2013-08-12 4:33,3.1, ,35.66,129.75,울산 동구 동북동쪽 35km 해역
2013-08-12 4:39,2.3, ,35.66,129.77,울산 동구 동북동쪽 36km 해역
2013-08-13 0:01,2.1, ,36.92,129.44,경북 울진군 남남동쪽 8km 해역
2013-08-13 0:36,3, ,36.91,129.44,경북 울진군 남남동쪽 10km 해역
2013-08-29 8:35,2.5, ,38.19,129.3,강원 강릉시 북동쪽 60km 해역
2013-09-11 13:00,4, ,33.56,125.39,전남 신안군 가거도 남남동쪽 60km 해역
2013-09-14 17:33,2.2, ,36.2,126.16,충남 보령시 서남서쪽 43km 해역
2013-09-15 13:16,2.3, ,36.55,129.23,경북 영양군 남동쪽 16km 지역
2013-10-10 13:08,2.6, ,35.36,128.23,경남 의령군 북서쪽 5km 지역
2013-10-11 16:06,3.6, ,36.46,129.61,경북 영덕군 동북동쪽 22km 해역
2013-10-19 0:16,2, ,35.96,128.06,경북 김천시 남쪽 20km 지역
2013-10-26 6:47,2.7, ,37.96,124.61,인천 백령도 서쪽 6km 해역
2013-11-08 19:14,2.6, ,36.23,126.36,충남 보령시 서남서쪽 25km 해역
2013-11-08 21:02,3, ,36.24,126.36,충남 보령시 서남서쪽 25km 해역
